"Date","Price","Open","High","Low","Vol.","Change %"
"20-08-2020","62.783","62.104","63.541","61.024","14.91M","1.09%"
"19-08-2020","62.105","65.447","67.108","58.961","17.51M","-5.11%"
"18-08-2020","65.450","67.199","68.354","63.636","20.15M","-2.60%"
"17-08-2020","67.198","63.881","68.877","61.552","20.20M","5.19%"
"16-08-2020","63.880","59.822","64.552","58.156","19.19M","6.70%"
"15-08-2020","59.868","56.679","60.593","56.600","18.73M","5.63%"
"14-08-2020","56.679","57.135","57.726","55.917","13.35M","-0.80%"
"13-08-2020","57.133","54.517","57.284","51.951","16.02M","4.80%"
"12-08-2020","54.516","54.102","55.018","51.726","15.00M","0.76%"
"11-08-2020","54.102","58.281","59.668","52.484","14.13M","-7.17%"
"10-08-2020","58.281","56.949","59.390","56.690","11.36M","2.34%"
"09-08-2020","56.949","58.445","58.667","56.098","5.79M","-2.56%"
"08-08-2020","58.446","57.186","58.531","56.489","6.58M","2.20%"
"07-08-2020","57.186","59.043","60.995","55.082","10.73M","-3.15%"
"06-08-2020","59.044","58.864","60.633","57.704","11.63M","0.31%"
"05-08-2020","58.864","57.601","59.760","56.885","10.76M","2.19%"
"04-08-2020","57.601","58.488","59.569","56.531","10.28M","-1.51%"
"03-08-2020","58.485","56.766","60.002","55.891","11.49M","3.04%"
"02-08-2020","56.760","61.637","65.098","52.585","20.58M","-7.91%"
"01-08-2020","61.637","58.160","62.217","57.561","16.69M","5.99%"
"31-07-2020","58.156","56.738","59.207","55.799","12.08M","2.50%"
"30-07-2020","56.737","55.170","58.529","53.987","17.69M","2.85%"
"29-07-2020","55.166","55.754","56.966","54.972","13.08M","-1.06%"
"28-07-2020","55.756","53.263","57.706","51.794","17.79M","4.69%"
"27-07-2020","53.258","48.072","55.630","47.001","19.59M","10.79%"
"26-07-2020","48.073","49.154","50.738","47.690","16.21M","-2.20%"
"25-07-2020","49.153","44.100","49.503","44.038","13.62M","11.46%"
"24-07-2020","44.100","44.939","44.959","43.951","6.61M","-1.87%"
"23-07-2020","44.939","44.984","45.644","44.522","10.99M","-0.10%"
"22-07-2020","44.983","43.786","45.090","43.206","7.85M","2.74%"
"21-07-2020","43.785","41.954","44.079","41.880","7.20M","4.37%"
"20-07-2020","41.954","42.633","42.802","41.486","6.78M","-1.62%"
"19-07-2020","42.647","42.468","42.884","41.840","6.69M","0.42%"
"18-07-2020","42.468","41.892","42.848","41.749","7.35M","1.38%"
"17-07-2020","41.892","42.081","42.464","41.723","8.70M","-0.45%"
"16-07-2020","42.081","43.350","43.501","40.967","9.11M","-2.93%"
"15-07-2020","43.350","43.896","44.070","42.900","9.51M","-1.24%"
"14-07-2020","43.896","43.943","44.045","42.859","17.61M","-0.06%"
"13-07-2020","43.922","44.737","45.586","42.741","24.85M","-1.82%"
"12-07-2020","44.737","44.696","45.251","43.745","23.41M","0.09%"
"11-07-2020","44.697","44.307","44.770","43.891","10.64M","0.88%"
"10-07-2020","44.307","44.367","44.595","43.486","11.40M","-0.14%"
"09-07-2020","44.368","45.333","45.866","43.587","11.85M","-2.16%"
"08-07-2020","45.348","43.364","45.599","43.074","13.32M","4.57%"
"07-07-2020","43.364","44.097","44.419","43.070","7.40M","-1.65%"
"06-07-2020","44.093","41.657","44.208","41.523","10.93M","5.85%"
"05-07-2020","41.657","42.077","42.166","40.812","5.62M","-1.00%"
"04-07-2020","42.077","41.211","42.172","41.120","5.75M","2.10%"
"03-07-2020","41.212","41.050","41.678","40.911","6.22M","0.39%"
"02-07-2020","41.050","41.728","41.900","40.391","7.11M","-1.63%"
"01-07-2020","41.728","41.194","41.964","41.016","6.19M","1.29%"
"30-06-2020","41.196","41.842","42.015","40.818","6.60M","-1.53%"
"29-06-2020","41.837","41.396","42.243","40.647","7.53M","1.07%"
"28-06-2020","41.396","41.077","42.013","40.474","6.89M","0.77%"
"27-06-2020","41.078","43.068","43.102","39.323","7.53M","-4.62%"
"26-06-2020","43.070","42.336","43.517","41.435","10.30M","1.72%"
"25-06-2020","42.341","42.625","42.982","41.795","7.73M","-0.67%"
"24-06-2020","42.625","44.167","44.648","42.219","9.24M","-3.50%"
"23-06-2020","44.171","44.292","44.486","43.907","4.65M","-0.27%"
"22-06-2020","44.292","42.996","44.634","42.943","7.06M","3.01%"
"21-06-2020","42.996","43.588","43.822","42.889","5.23M","-1.36%"
"20-06-2020","43.590","42.887","43.853","42.367","5.93M","1.64%"
"19-06-2020","42.887","43.444","43.676","42.740","4.66M","-1.28%"
